name,party,vote_column,poll_id,y
Alexander Gauland,AfD,v001,4370,0
Andreas Bleck,AfD,v001,4370,0
Barbara Benkstein,AfD,v001,4370,0
Beatrix von Storch,AfD,v001,4370,0
Bernd Baumann,AfD,v001,4370,0
Bernd Schattner,AfD,v001,4370,0
Christian Wirth,AfD,v001,4370,0
Christina Baum,AfD,v001,4370,0
Corinna Miazga,AfD,v001,4370,0
Dietmar Friedhoff,AfD,v001,4370,0
Dirk Brandes,AfD,v001,4370,0
Dirk Spaniel,AfD,v001,4370,0
Edgar Naujok,AfD,v001,4370,0
Enrico Komning,AfD,v001,4370,0
Eugen Schmidt,AfD,v001,4370,0
Fabian Jacobi,AfD,v001,4370,0
Frank Rinck,AfD,v001,4370,0
Gereon Bollmann,AfD,v001,4370,0
Gerrit Huy,AfD,v001,4370,0
Gottfried Curio,AfD,v001,4370,0
Götz Frömming,AfD,v001,4370,0
Hannes Gnauck,AfD,v001,4370,0
Harald Weyel,AfD,v001,4370,0
Jan Ralf Nolte,AfD,v001,4370,0
Jan Wenzel Schmidt,AfD,v001,4370,0
Joachim Wundrak,AfD,v001,4370,0
Jochen Haug,AfD,v001,4370,0
Jörg Schneider,AfD,v001,4370,0
Jörn König,AfD,v001,4370,0
Jürgen Braun,AfD,v001,4370,0
Karsten Hilse,AfD,v001,4370,0
Kay Gottschalk,AfD,v001,4370,0
Kay-Uwe Ziegler,AfD,v001,4370,0
Klaus Stöber,AfD,v001,4370,0
Leif-Erik Holm,AfD,v001,4370,0
Malte Kaufmann,AfD,v001,4370,0
Marc Bernhard,AfD,v001,4370,0
Marc Jongen,AfD,v001,4370,0
Marcus Bühl,AfD,v001,4370,0
Mariana Harder-Kühnel,AfD,v001,4370,0
Markus Frohnmaier,AfD,v001,4370,0
Martin Hess,AfD,v001,4370,0
Martin Reichardt,AfD,v001,4370,0
Martin Sichert,AfD,v001,4370,0
Matthias Moosdorf,AfD,v001,4370,0
Michael Kaufmann,AfD,v001,4370,0
Mike Moncsek,AfD,v001,4370,0
Nicole Höchst,AfD,v001,4370,0
Norbert Kleinwächter,AfD,v001,4370,0
Peter Boehringer,AfD,v001,4370,0
Petr Bystron,AfD,v001,4370,0
Rainer Kraft,AfD,v001,4370,0
René Bochmann,AfD,v001,4370,0
René Springer,AfD,v001,4370,0
Roger Beckamp,AfD,v001,4370,0
Rüdiger Lucassen,AfD,v001,4370,0
Sebastian Münzenmaier,AfD,v001,4370,0
Stephan Brandner,AfD,v001,4370,0
Stephan Protschka,AfD,v001,4370,0
Thomas Dietz,AfD,v001,4370,0
Thomas Ehrhorn,AfD,v001,4370,0
Thomas Seitz,AfD,v001,4370,0
Tino Chrupalla,AfD,v001,4370,0
Tobias Matthias Peterka,AfD,v001,4370,0
Ulrike Schielke-Ziesing,AfD,v001,4370,0
Uwe Schulz,AfD,v001,4370,0
Wolfgang Wiehle,AfD,v001,4370,0
Agnieszka Brugger,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Andreas Audretsch,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Anja Liebert,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Anja Reinalter,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Anna Christmann,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Anna Lührmann,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Annalena Baerbock,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Anne-Monika Spallek,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Anton Hofreiter,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Armin Grau,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Awet Tesfaiesus,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Beate Müller-Gemmeke,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Beate Walter-Rosenheimer,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Bernhard Herrmann,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Bettina Hoffmann,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Boris Mijatović,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Britta Haßelmann,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Bruno Hönel,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Canan Bayram,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Cem Özdemir,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Chantal Kopf,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Christian Kühn,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Christina-Johanne Schröder,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Claudia Müller,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Claudia Roth,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Corinna Rüffer,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Deborah Düring,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Denise Loop,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Dieter Janecek,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Ekin Deligöz,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Emilia Fester,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Erhard Grundl,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Felix Banaszak,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Filiz Polat,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Frank Bsirske,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Franziska Brantner,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Hanna Steinmüller,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Harald Ebner,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Helge Limburg,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Ingrid Nestle,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Irene Mihalic,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Jamila Anna Schäfer,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Jan-Niclas Gesenhues,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Janosch Dahmen,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Johannes Wagner,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Julia Verlinden,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Julian Pahlke,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Jürgen Trittin,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Kai Gehring,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Karl Bär,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Karoline Otte,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Kassem Taher Saleh,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Katharina Beck,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Katharina Dröge,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Kathrin Henneberger,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Katja Keul,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Katrin Göring-Eckardt,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Katrin Uhlig,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Kirsten Kappert-Gonther,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Konstantin von Notz,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Kordula Schulz-Asche,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Lamya Kaddor,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Laura Kraft,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Leon Eckert,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Linda Heitmann,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Lisa Badum,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Lisa Paus,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Luise Amtsberg,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Lukas Benner,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Maik Außendorf,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Manuela Rottmann,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Marcel Emmerich,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Maria Klein-Schmeink,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Markus Kurth,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Marlene Schönberger,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Matthias Gastel,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Max Lucks,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Melis Sekmen,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Merle Spellerberg,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Michael Kellner,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Misbah Khan,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Niklas Wagener,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Nina Stahr,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Nyke Slawik,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Oliver Krischer,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Omid Nouripour,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Ophelia Nick,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Paula Piechotta,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Philip Krämer,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Renate Künast,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Ricarda Lang,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Robert Habeck,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Robin Wagener,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Sabine Grützmacher,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Sandra Detzer,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Sara Nanni,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Sascha Müller,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Saskia Weishaupt,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Schahina Gambir,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Sebastian Schäfer,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Stefan Gelbhaar,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Stefan Schmidt,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Stefan Wenzel,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Steffi Lemke,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Stephanie Aeffner,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Susanne Menge,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Sven Lehmann,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Sven-Christian Kindler,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Swantje Michaelsen,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Tabea Rößner,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Till Steffen,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Tina Winklmann,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Tobias B. Bacherle,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Tobias Lindner,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Ulle Schauws,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Wolfgang Strengmann-Kuhn,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Zoe Mayer,BÜNDNIS 90/DIE GRÜNEN,v001,4370,1
Albert Rupprecht,CDU/CSU,v001,4370,0
Albert Stegemann,CDU/CSU,v001,4370,0
Alexander Dobrindt,CDU/CSU,v001,4370,0
Alexander Engelhard,CDU/CSU,v001,4370,0
Alexander Hoffmann,CDU/CSU,v001,4370,0
Alexander Radwan,CDU/CSU,v001,4370,0
Alexander Throm,CDU/CSU,v001,4370,0
Alois Rainer,CDU/CSU,v001,4370,0
Andrea Lindholz,CDU/CSU,v001,4370,0
Andreas Jung,CDU/CSU,v001,4370,0
Andreas Lenz,CDU/CSU,v001,4370,0
Andreas Scheuer,CDU/CSU,v001,4370,0
André Berghegger,CDU/CSU,v001,4370,0
Anja Karliczek,CDU/CSU,v001,4370,0
Anja Weisgerber,CDU/CSU,v001,4370,0
Anne Janssen,CDU/CSU,v001,4370,0
Anne König,CDU/CSU,v001,4370,0
Annette Widmann-Mauz,CDU/CSU,v001,4370,0
Ansgar Heveling,CDU/CSU,v001,4370,0
Antje Tillmann,CDU/CSU,v001,4370,0
Armin Laschet,CDU/CSU,v001,4370,0
Armin Schwarz,CDU/CSU,v001,4370,0
Artur Auernhammer,CDU/CSU,v001,4370,0
Astrid Damerow,CDU/CSU,v001,4370,0
Axel Knoerig,CDU/CSU,v001,4370,0
Axel Müller,CDU/CSU,v001,4370,0
Bernhard Loos,CDU/CSU,v001,4370,0
Björn Simon,CDU/CSU,v001,4370,0
Carsten Brodesser,CDU/CSU,v001,4370,0
Carsten Körber,CDU/CSU,v001,4370,0
Carsten Linnemann,CDU/CSU,v001,4370,0
Carsten Müller,CDU/CSU,v001,4370,0
Catarina dos Santos-Wintz,CDU/CSU,v001,4370,0
Christian Haase,CDU/CSU,v001,4370,0
Christian Hirte,CDU/CSU,v001,4370,0
Christian von Stetten,CDU/CSU,v001,4370,0
Christina Stumpp,CDU/CSU,v001,4370,0
Christoph Ploß,CDU/CSU,v001,4370,0
Christoph de Vries,CDU/CSU,v001,4370,0
Daniela Ludwig,CDU/CSU,v001,4370,0
Detlef Seif,CDU/CSU,v001,4370,0
Diana Stöcker,CDU/CSU,v001,4370,0
Dieter Stier,CDU/CSU,v001,4370,0
Dietrich Monstadt,CDU/CSU,v001,4370,0
Dorothee Bär,CDU/CSU,v001,4370,0
Elisabeth Winkelmeier-Becker,CDU/CSU,v001,4370,0
Emmi Zeulner,CDU/CSU,v001,4370,0
Enak Ferlemann,CDU/CSU,v001,4370,0
Erwin Rüddel,CDU/CSU,v001,4370,0
Fabian Gramling,CDU/CSU,v001,4370,0
Felix Schreiner,CDU/CSU,v001,4370,0
Florian Hahn,CDU/CSU,v001,4370,0
Florian Müller,CDU/CSU,v001,4370,0
Florian Oßner,CDU/CSU,v001,4370,0
Franziska Hoppermann,CDU/CSU,v001,4370,0
Friedrich Merz,CDU/CSU,v001,4370,0
Fritz Güntzler,CDU/CSU,v001,4370,0
Georg Kippels,CDU/CSU,v001,4370,0
Gero Storjohann,CDU/CSU,v001,4370,0
Gitta Connemann,CDU/CSU,v001,4370,0
Gunther Krichbaum,CDU/CSU,v001,4370,0
Günter Krings,CDU/CSU,v001,4370,0
Hans-Peter Friedrich,CDU/CSU,v001,4370,0
Hansjörg Durz,CDU/CSU,v001,4370,0
Heike Brehmer,CDU/CSU,v001,4370,0
Helge Braun,CDU/CSU,v001,4370,0
Hendrik Hoppenstedt,CDU/CSU,v001,4370,0
Henning Otte,CDU/CSU,v001,4370,0
Henning Rehbaum,CDU/CSU,v001,4370,0
Hermann Färber,CDU/CSU,v001,4370,0
Hermann Gröhe,CDU/CSU,v001,4370,0
Hermann-Josef Tebroke,CDU/CSU,v001,4370,0
Hubert Hüppe,CDU/CSU,v001,4370,0
Inge Gräßle,CDU/CSU,v001,4370,0
Ingmar Jung,CDU/CSU,v001,4370,0
Ingo Gädechens,CDU/CSU,v001,4370,0
Jan Metzler,CDU/CSU,v001,4370,0
Jan-Marco Luczak,CDU/CSU,v001,4370,0
Jana Schimke,CDU/CSU,v001,4370,0
Jens Koeppen,CDU/CSU,v001,4370,0
Jens Lehmann,CDU/CSU,v001,4370,0
Jens Spahn,CDU/CSU,v001,4370,0
Johann Wadephul,CDU/CSU,v001,4370,0
Johannes Steiniger,CDU/CSU,v001,4370,0
Josef Oster,CDU/CSU,v001,4370,0
Josef Rief,CDU/CSU,v001,4370,0
Julia Klöckner,CDU/CSU,v001,4370,0
Jürgen Hardt,CDU/CSU,v001,4370,0
Kai Whittaker,CDU/CSU,v001,4370,0
Katja Leikert,CDU/CSU,v001,4370,0
Katrin Staffler,CDU/CSU,v001,4370,0
Kerstin Radomski,CDU/CSU,v001,4370,0
Kerstin Vieregge,CDU/CSU,v001,4370,0
Klaus Mack,CDU/CSU,v001,4370,0
Klaus Wiener,CDU/CSU,v001,4370,0
Klaus-Peter Willsch,CDU/CSU,v001,4370,0
Knut Abraham,CDU/CSU,v001,4370,0
